step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
48,6.007,state after change,BBBBBMBBBMBDBDMD,BBBBBMBBBMBDBBMD,BBBBB_DBBDBDBBMB,BBBBB_BBBDBBBBDB,BBMMBDBBBDBBBB_B,BBMMMBBBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
49,6.075,state after change,BBBBBMDBBMDDBBMD,BBBBBMBBBMDDBBMD,BBBBB_DBBDBDBBMB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
50,6.21,state after change,BBBMBMDBBMBDBBMD,BBBBBMBBBMDDBBMD,BBBBB_DBBDBDBBMB,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
51,6.277,state after change,BBBMBMDBBMBDBBMD,BBBBBMBBBMBDBBMD,BBBBB_DBBDBDBBMB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
52,6.345,state after change,BBBMBMDBBMBDBBMD,BBBBBMBBBMDDBBMD,BBBBB_DBBDBDBBMB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
53,6.48,state after change,BBMMBMDBBMBDBDMD,BBBBBMBBBMDDBBMD,BBMBB_DBBDDDBBMD,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
54,6.615,state after change,BBMMBMBBBMBDBDMD,BBBBBMBBBMDDBBMD,BBMBB_DBBDBDBBMD,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
55,6.682,state after change,BBMMBMBBBMBDBDMD,BBBBBMBBBMDDBBMD,BBMBB_BBBDDDBBMD,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
56,6.75,state after change,BBMMBMBBBMBDBDMD,BBBBBMBBBMDDBBMD,BBMBB_DBBDDDBBMB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
57,6.952,state after change,BBMMBMDBBMDDBDMD,BBBBBMBBBMDDBBMD,BBMBB_DBBDDDBBMB,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
58,7.02,state after change,BBMMBMDBBMDDBDMD,BBMBBMBBBMDDBBMD,MMMBMMBBBMBDBBMD,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
59,7.087,state after change,BBMMBMDBBMDDBDMD,BBMBBMBBBMDDDBMD,MMMBBMBBBMBDBBMD,BBMBB_BBBDBBBBDB,BBMMMDBBB_BBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDBBBBDM,________________
60,7.155,state after change,BBBBBMDBDMDDBDMD,BBBBBMBBBMDDDBM_,MMMBBMBBBMBDBBMD,BBMBM_BBBDBBBBDB,BBMMMDBBB_BBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDBBBBDM,________________
61,7.222,state after change,BBBBBMDBDMDDBDMD,BBBBBMBBBMDDDBM_,MMMMBMDDBMBDBBMD,BBMBB_BBBDBBBBDB,BBMMBDBBB_BBBB_B,BBMMMBBBBDBBBBDB,BBMMMBMMMDBBBBDM,________________
62,7.29,state after change,BBBBBMDBDMDDBDMD,BBBBBMBBBMDDDBM_,MMBBMMDDBMDDBBMD,BBBBB_BBBDBBBBDB,BBMBBDBBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBMMMDMBBBDM,________________
63,7.357,state after change,BBBBBMDBDMDDBDBD,BBBBBMBBBMDDDDM_,MMBBMMDDBMDDBBMD,BBBBB_BBBDBBBBDB,BBMBBDBBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBMBBDBBBBDB,________________
64,7.425,state after change,BBBBBMDBDMDDBDMD,BBBBBMDDBMDDDDM_,MMBBMMBDBMDDBBMD,BBBBB_BBBDBDBBDB,BBMBBDBBB_BBBB_B,BBMMMBBBBDBBBB_B,BMMMMBMBBDBBBBDB,________________
