step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
34,6.75,state after change,oOoooOoooOooooOo,oOoooOoooOooooOo,oOOooooooooooOOo,oOOOoooooooooOoo,oOOOOOoooOOooOoO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
35,6.952,state after change,oOoooOoooOooooOo,oOoooOoooOooooOo,oOOooooooooooOOo,oOOooooooooooOoo,OOOOOooooOoooOoO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
36,7.155,state after change,oOoooOoooOooooOo,oOoooOoooOooooOo,OOOooOoooOooooOo,oOOooooooooooOoo,oOOOOooooooooOoO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
37,7.425,state after change,oooooOoooOooooOo,oOoooOoooOooooOo,OOoooOoooOooooOo,oOoooooooooooooo,oOOOOooooooooOoO,oOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
38,7.627,state after change,oooooOoooOooooOo,oOoooOoooOooooOo,OOoooOoOoOooooOo,oOoooooooooooooo,oOOooooooooooOoO,oOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
39,7.83,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOo,oOoooooooooooooo,oOoooooooooooOoO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
40,8.1,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooOOOo,oooooooooooooooo,oOoooooooooooOoO,oOOOOooooooOoOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
41,8.302,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOO,oooooooooooooooo,oOoooooooooooOoo,oOOOOooooooOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
42,8.572,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOo,oooooooooooooooo,oOoooooooooooOoo,oOOOoooooooooOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
43,8.775,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOo,oooooooooooooooo,oOoooooooooooOoO,oOOOOooooooOoOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
44,9.045,state after change,oooooOoooOooooOo,oooooOoooOooooOo,OOoooOoooOooooOo,oOoooooooooooooo,oOoooooooooooOoO,oOOOOooooOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
45,9.315,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,oOoooooooOoooooo,oOOooooooooooOoO,oOOOOOoooOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
46,9.517,state after change,oooooOoooOooooOo,oooooooooOooooOo,oOoooOooooooooOo,oOoooooooOoooooo,oOOooooooooooOoO,oOOOOooooooOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
47,9.72,state after change,oooooOoooOooooOo,oOoooooooOooooOo,oOoooOooooooooOo,oOoooooooOoooooo,oOOOOooooooooOoO,OOOOOOoooOoOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
48,9.922,state after change,oooooOoooOooooOo,oOoooooooOooooOo,oOoooOooooooooOo,oOoooooooOoooooo,oOOOoooooooooOoO,OOOOOOoooooOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
